PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
Miles Bridges,Hornets,fg3m,2.5,-115,under,0.63614910664051,0.9466112142482459,0.5348837209302326
Jarrett Allen,Cavaliers,assists,1.5,-120,over,0.6330749030134848,0.8031866109569445,0.5454545454545454
Kelly Oubre Jr.,76ers,fg3m,1.5,-155,under,0.6268231239782291,0.1561256972402718,0.607843137254902
Donovan Mitchell,Cavaliers,rebounds,4.5,-110,over,0.6186366219153964,0.9051677546469659,0.5238095238095238
Tyler Herro,Heat,rebounds,4.5,-160,over,0.6186366219153964,0.026422553062595666,0.6153846153846154
Giannis Antetokounmpo,Bucks,points,31.5,-115,over,0.6156738605035761,0.7552121742725588,0.5348837209302326
Josh Green,Hornets,fg3m,1.5,-110,under,0.6092146125178453,0.8152303922157957,0.5238095238095238
Shai Gilgeous-Alexander,Thunder,assists,5.5,-125,over,0.6087822379251808,0.4790401413266274,0.5555555555555556
Jimmy Butler,Heat,fg3m,0.5,-135,under,0.6065306597126334,0.2790631493506981,0.574468085106383
Shai Gilgeous-Alexander,Thunder,points,29.5,-115,over,0.6056698240351808,0.6616961811984288,0.5348837209302326
Bam Adebayo,Heat,rebounds,11.5,-145,under,0.5971673273316138,0.045034317111910305,0.5918367346938775
Kelly Oubre Jr.,76ers,points,12.5,-110,under,0.5874004452293355,0.6070042499163852,0.5238095238095238
Luguentz Dort,Thunder,rebounds,4.5,115,over,0.5854207316634057,1.2932728653816108,0.46511627906976744
Bobby Portis,Bucks,points,12.5,-120,over,0.5854083730414478,0.36624341954660533,0.5454545454545454
Jarrett Allen,Cavaliers,rebounds,10.5,-120,under,0.5830397501929852,0.34453104343569807,0.5454545454545454
Jalen Williams,Thunder,points,21.5,-105,over,0.5824671794318428,0.6859891325489418,0.5121951219512195
Taurean Prince,Bucks,fg3m,1.5,110,over,0.580291488819785,1.093060632607742,0.47619047619047616
Terry Rozier,Heat,assists,2.5,100,over,0.5768099188731564,0.7680991887315631,0.5
Isaiah Joe,Thunder,rebounds,2.5,105,over,0.5655150159955759,0.7965289139546523,0.48780487804878053
Jimmy Butler,Heat,rebounds,5.5,-105,under,0.5607279789738795,0.4737731280783475,0.5121951219512195
Isaiah Hartenstein,Thunder,assists,3.5,105,over,0.5567010067233688,0.7061853189145295,0.48780487804878053
Donovan Mitchell,Cavaliers,fg3m,3.5,-115,over,0.5567010067233688,0.20394419328366453,0.5348837209302326
Caris LeVert,Cavaliers,fg3m,1.5,105,over,0.5518740760061613,0.6567092790631532,0.48780487804878053
Bam Adebayo,Heat,points,16.5,-120,over,0.5513988069073745,0.054489063317600284,0.5454545454545454
Jalen Williams,Thunder,rebounds,5.5,-115,over,0.5462561148966317,0.10630716099025328,0.5348837209302326
Paul George,76ers,fg3m,2.5,105,under,0.5438131158833297,0.574084437804129,0.48780487804878053
Jarrett Allen,Cavaliers,points,12.5,-105,over,0.5423815241673975,0.29467678353887994,0.5121951219512195
Luguentz Dort,Thunder,assists,1.5,-105,over,0.5340238143067328,0.21308961585143926,0.5121951219512195
Jalen Williams,Thunder,assists,4.5,-110,over,0.5328042198267544,0.08585846198265612,0.5238095238095238
Caris LeVert,Cavaliers,points,11.5,-105,over,0.5326725242278454,0.1998984507956334,0.5121951219512195
Evan Mobley,Cavaliers,points,16.5,-110,over,0.5271863814628883,0.03223364123666128,0.5238095238095238
Miles Bridges,Hornets,rebounds,6.5,-105,under,0.5186650615460577,0.06315893414008711,0.5121951219512195
Terry Rozier,Heat,rebounds,3.5,115,over,0.5162326184463124,0.5495006482978582,0.46511627906976744
Paul George,76ers,rebounds,5.5,100,over,0.5133773967717443,0.13377396771744365,0.5
Darius Garland,Cavaliers,assists,6.5,105,over,0.512414706597171,0.25225074262100255,0.48780487804878053
Josh Green,Hornets,assists,1.5,105,under,0.5089322578449987,0.21655564291123675,0.48780487804878053
Evan Mobley,Cavaliers,fg3m,0.5,110,under,0.5044883526787212,0.2971277031265722,0.47619047619047616
Duncan Robinson,Heat,fg3m,2.5,125,over,0.49404900047099853,0.5580512552987336,0.4444444444444444
Haywood Highsmith,Heat,fg3m,1.5,170,over,0.40816728654014434,0.5102583682919484,0.37037037037037035
Tyrese Maxey,76ers,points,25.5,-125,over,0.5025658245491316,-0.47690757905781567,0.5555555555555556
Joel Embiid,76ers,points,26.5,-120,under,0.4583562131910775,-0.7984013790817894,0.5454545454545454
