PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
Anthony Edwards,Timberwolves,fg3m,3.5,-125,over,0.5921355461748423,0.32921991557358066,0.5555555555555556
DeMar DeRozan,Kings,rebounds,3.5,-125,over,0.5921355461748423,0.32921991557358066,0.5555555555555556
DeMar DeRozan,Kings,assists,3.5,-135,over,0.5921355461748423,0.1537723463365901,0.574468085106383
Stephen Curry,Warriors,fg3m,4.5,-120,under,0.5898270213105776,0.4067476953469624,0.5454545454545454
Donte DiVincenzo,Timberwolves,rebounds,2.5,-135,over,0.5768099188731564,0.02038262722932327,0.574468085106383
Kevin Huerter,Kings,fg3m,1.5,-120,under,0.5690431828955749,0.2162291765427704,0.5454545454545454
Norman Powell,Clippers,fg3m,3.5,115,over,0.566529879633291,1.090196206057879,0.46511627906976744
Alperen Sengun,Rockets,assists,5.5,-115,over,0.5649682113073651,0.28122458396015126,0.5348837209302326
Domantas Sabonis,Kings,assists,5.5,-125,over,0.5649682113073651,0.08471390176628546,0.5555555555555556
Nickeil Alexander-Walker,Timberwolves,rebounds,2.5,130,over,0.561709133066571,1.4596550302655662,0.4347826086956522
Dillon Brooks,Rockets,points,13.5,-125,under,0.5583892427432011,0.025503184688810077,0.5555555555555556
Derrick Jones Jr.,Clippers,rebounds,3.5,-125,under,0.5583570552828954,0.025213497546058505,0.5555555555555556
Alperen Sengun,Rockets,rebounds,10.5,-115,under,0.5580342497630784,0.21640711735051488,0.5348837209302326
Dillon Brooks,Rockets,assists,1.5,115,over,0.5567036416254695,0.984564147473797,0.46511627906976744
Jalen Green,Rockets,assists,2.5,110,under,0.5523916891181802,0.8001127357408917,0.47619047619047616
Fred VanVleet,Rockets,points,16.5,-115,over,0.5513988069073745,0.15438015152545725,0.5348837209302326
James Harden,Clippers,points,22.5,-105,under,0.5507265203587255,0.376139841597082,0.5121951219512195
Rudy Gobert,Timberwolves,points,10.5,105,over,0.5480452830140439,0.6174641508939493,0.48780487804878053
Alperen Sengun,Rockets,points,20.5,-115,under,0.5413314119153919,0.06027189399170707,0.5348837209302326
