,minutes,points,rebounds,assists,efg,fg3a,fg3m,fg3_pct,fga,fgm,fta,ft_pct,steals,blocks,date,efg_team,fg3a_team,fg3_pct_team,fga_team,fta_team,ft_pct_team,steals_team,blocks_team,to,pace,e_def_rating,e_off_rating,opp_efg,opp_fg3a,opp_fg3_pct,opp_fga,opp_fta,opp_ft_pct,opp_steals,opp_blocks,opp_to,opp_pace,opp_e_def_rating,opp_e_off_rating
Khris Middleton,0.21613316830252818,1.0,0.1909343770203507,0.055968359185777326,-0.3446980051865063,0.025700965285435157,-0.2107242897799355,-0.3004183862148099,0.31813606814544637,0.04657086848978438,0.2020257850440458,0.15818594550263104,0.14478374857606352,-0.05255121005791296,0.28064631975855825,-0.2179227236076935,-0.3308214253383465,0.0060700713475446266,-0.19811886732622053,0.02361950983136764,0.33776429717696477,-0.12519535606002272,-0.09055990831343594,-0.11162162896277299,-0.26901585710224657,0.07771861499076385,-0.09806082013357091,0.053527203156988445,0.2802091984946577,-0.24104800214385608,0.24556301274248585,-0.15244971258632506,-0.20673210688370378,-0.021719059605002915,0.11335559502492391,-0.17621915600096083,-0.020139663951942204,-0.14601187005128177,0.038617047743550216
Pat Connaughton,0.14196038969340588,1.0,0.03632430465985287,0.305355133400808,-0.03191723002918871,0.19726582468154447,0.1135288769868404,-0.004691203559108766,0.1039691798621237,0.004634026090407013,-0.18500704408852178,-0.05456626205265693,-0.028655918834586076,0.1093234850227506,-0.0036160662692505097,-0.04573669766121328,0.04420929765636325,-0.10871220992121439,-0.09519555155541398,-0.1169947181292809,0.05565514941321461,0.1770120665185353,-0.15547655425626683,-0.06617663684958906,-0.05090878283376258,-0.18183807097967233,0.0009795847825845878,-0.11222085563554904,-0.16596462063904105,0.09194058186803125,-0.03661385375838919,0.11567965371849782,0.04066199901084558,0.051803741141157156,-0.13330216037770476,0.14302773150604284,0.021211559511566114,0.05501922822119086,-0.19548506982851296
Jaime Jaquez Jr.,0.34523436138118896,1.0,0.2664709817948212,0.2611833321816564,0.1345946425814206,0.14518511517441238,0.0835856732296261,-0.03740793338368982,0.2928133677198262,0.30234043362468116,0.12542128775694247,0.11851903230197484,0.06976966788121547,0.09295141071228108,-0.36103550263066686,0.33295127890134274,0.062357018339253945,0.38664246916456135,-0.0945201588076083,0.38383589382730626,0.14709126786058255,-0.04850187225673616,-0.13912462748006085,0.16829109434776834,0.42437554920368536,0.16876286752623515,0.4383841499353969,-0.09700485498449568,0.026228783085968353,0.09459166853018662,0.13517341545302272,0.0931884200947496,0.14249431633951118,-0.18086123053012876,-0.16924137774971793,0.010875401200404956,-0.017601075931465465,0.19555422351123977,0.00020408762457767597
Bam Adebayo,0.05312865921372025,1.0,0.09445085713688095,0.14850223232980544,-0.003848537690866976,0.05293013249027519,0.0012914162962152644,-0.04445674047948731,0.04942007289124202,0.030774408017573283,0.1985722367596771,0.0856843999108061,-0.04800551539666491,-0.041506858885523065,-0.21644273883441417,0.03653814970717188,0.07545360212640347,-0.14673473609383306,0.0055646517064125425,0.19323219647537634,0.0387803182079374,0.19777997147176293,-0.26163630755700235,0.10901962678608601,0.26152544604723,-0.09626548037681712,0.15979560177367644,-0.03978089659333786,0.05394165678848917,0.07652411672187001,-0.040189718830172715,0.016884189985737156,0.022983122433591404,0.1632713818758459,-0.1568746557776912,-0.05291438967138501,-0.13155365786221454,0.0760718396733216,0.08741792095241023
Tyler Herro,0.1936589978860502,1.0,0.17055412165889522,-0.14483594268037334,-0.3433386851942675,0.07569119423008319,-0.08013564163982512,-0.12725561747585834,0.293089984061047,0.0014752820584364031,0.12173883488091612,-0.008738646146166143,0.09813455321946964,0.32818171412631714,-0.20195931285689617,0.26075734140571155,0.007045297509912433,0.26750812509455424,0.16876418029437135,0.21743388053753,-0.0870112488100235,-0.12165986585061231,-0.0950608189544419,-0.3495109725087018,0.2241708528574703,0.14891641343795387,0.32398978695758085,0.3474643630043424,0.00355763437945014,0.2817809142156199,-0.023396318451982843,0.12434986037424406,0.010887713687131536,-0.09408398088119879,0.1863168792907388,-0.00876793176054949,0.2147302418706535,0.141877248151609,0.4072927057529719
Thanasis Antetokounmpo,0.28547110270438536,1.0,-0.16753446394748006,0.29559419173051693,0.0028622588654000298,0.1273310006664335,,,0.08031833519295041,-0.031386332290777016,0.1273310006664335,,0.062043310557522956,0.3940552031195502,0.03524980317125922,0.0032965335473619595,0.09662144635257908,0.2941246941219746,-0.18828723860496407,-0.004216587607678708,-0.04858587339387561,0.10620156485907654,-0.22601740552894875,-0.02944486590654557,-0.07423619202054049,0.18316400507506267,-0.28447132024312427,-0.1682867583638749,-0.10974681762410918,-0.2403003746637768,-0.03390926575419292,-0.06714559214761726,-0.041293350356990145,0.14045317129284363,0.028263107046259797,-0.2186165613527048,0.0013560383131739145,-0.036965728223545706,-0.1274729585919234
Caleb Martin,0.16336455539671177,1.0,0.06893605571659392,0.05979394064993634,-0.010329763344713767,0.08771458431625619,0.01185078330935962,-0.12125007617244614,-0.0025607294786643892,-0.006790301306653293,-0.023821894194047486,-0.28132316419779096,-0.15036655606975025,0.1632919223853322,-0.09100896560825102,0.268044700292858,0.011718992107832322,0.1434035892948724,0.08440617575583206,0.005338260468995191,0.07006267092748891,-0.023288519216804648,-0.14984097195378165,-0.06689490639969918,-0.11275089698518444,0.03549390205157719,0.2459379407611807,0.10690289379090115,0.03813888311924,0.15668948131085478,0.012064802087769546,0.001304146220063281,0.002368385391630171,-0.042381104509006055,0.056408475879668116,0.14157780763537692,0.06745633369674389,-0.01411888588774827,0.04668451759375528
Jimmy Butler,0.20275160332898967,1.0,0.09074107883401007,0.022962030396046322,-0.05572673920768396,0.1789187744382082,0.10268319092109901,0.1083058163122638,0.2656357242358944,0.22910401706967676,0.09223243883637221,0.027290452763346764,0.004923830955661259,0.053850016924345094,-0.22361696570035264,0.07462580120945328,-0.028346508705115247,0.056590936623318606,0.03551699573199994,0.06417314716507311,0.14344606594892012,0.14864954378910752,0.07971186435049613,0.12747051057836814,0.10926470328157961,-0.029494947067794396,0.09657033690467529,0.2604046938841045,-0.12165468196174471,0.09552615709832708,0.09983477781679706,0.012200221410820862,-0.04166549058648297,0.019324945521279713,0.22259688336514113,-0.031074697723940517,0.22873956429086295,-0.016628865515022833,0.22396060833610235
Haywood Highsmith,0.14020601995443135,1.0,0.4190517282957291,0.10450784591602275,0.2185173208385102,0.05975842121415995,0.07732365506053325,0.09628043023412049,0.14018111014472912,0.18820187069976352,-0.006187403989446515,0.1286568554503869,-0.03665004138040416,0.1120253599249779,0.11199995562533557,-0.13650122099785203,0.2308335830850197,-0.2364574043170542,0.21422138831040238,-0.18187209514676295,-0.029013768172984334,0.08369835815375802,-0.2285734327583443,-0.21358999359513692,-0.12194227308632753,-0.09455195756962431,-0.021459316615802866,-0.1077664324059669,0.08985088858681647,0.00033711992468450717,0.05492971111929417,-0.2124814101685212,-0.03498489019330989,0.09878653923070264,-0.09417604298906833,0.06705252335151911,-0.12927203762728307,-0.09770055164643274,-0.1137563854184454
Giannis Antetokounmpo,-0.02259676603764179,1.0,-0.2390688810431099,0.12123318164328548,0.040763449529404895,-0.06632804703894435,-0.16021752342386436,-0.10552659682173494,-0.2050224858872423,-0.1696268678710735,0.1044607011965243,-0.08315854689570859,-0.15028358643827033,-0.11091212930664066,-0.09205711559231174,0.048196356853358546,-0.1819633664259055,-0.0416845784425454,0.04342949472162478,0.02806482963977445,0.11386596530080467,0.010023983684192097,0.11418400783222457,-0.03175946578380091,0.10319320779890766,-0.02624856604478292,0.1414474428028668,-0.09790921313253383,0.10771752798307102,-0.19659170881887267,0.10168001653583215,0.0922400174792471,-0.017232777328196152,0.053329784337212256,-0.09653784863119927,0.2827103791291695,0.1438547408671652,0.029543172872896123,-0.08671023226191929
