,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
39,Obi Toppin,Pacers,assists,1.5,-180,under,0.5121073116479548,-1.0169431316270185,0.6428571428571428
40,Ben Sheppard,Pacers,assists,0.5,-120,over,0.6988057880877979,1.405719724138148,0.5454545454545454
41,Ben Sheppard,Pacers,assists,0.5,-115,under,0.3011942119122021,-2.184488888646807,0.5348837209302326
42,Miles McBride,Knicks,assists,2.5,100,over,0.46130684089053076,-0.386931591094692,0.5
43,Miles McBride,Knicks,assists,2.5,-145,under,0.5386931591094692,-0.44897158683379423,0.5918367346938775
44,Jalen Brunson,Knicks,assists,6.5,-140,over,0.6460032626745446,0.5371708229246686,0.5833333333333333
45,Jalen Brunson,Knicks,assists,6.5,100,under,0.35399673732545545,-1.4600326267454458,0.5
46,Donte DiVincenzo,Knicks,assists,2.5,-140,over,0.5493950317778415,-0.29089972761850014,0.5833333333333333
47,Donte DiVincenzo,Knicks,assists,2.5,100,under,0.45060496822215845,-0.493950317778415,0.5
48,Isaiah Hartenstein,Knicks,assists,4.5,110,over,0.32439080333977244,-1.5938965649323893,0.47619047619047616
49,Isaiah Hartenstein,Knicks,assists,4.5,-160,under,0.6756091966602276,0.4893247228643487,0.6153846153846154
50,Josh Hart,Knicks,assists,3.5,-170,over,0.7867089815660595,1.2473948536128256,0.6296296296296295
51,Josh Hart,Knicks,assists,3.5,120,under,0.21329101843394055,-2.653798797226654,0.45454545454545453
52,Aaron Nesmith,Pacers,fg3m,1.5,-110,over,0.4218962688156227,-0.9728083431236012,0.5238095238095238
53,Aaron Nesmith,Pacers,fg3m,1.5,-125,under,0.5781037311843773,0.20293358065939593,0.5555555555555556
54,Myles Turner,Pacers,fg3m,1.5,-145,over,0.664507801973037,0.6139452235653131,0.5918367346938775
55,Myles Turner,Pacers,fg3m,1.5,100,under,0.33549219802696295,-1.6450780197303705,0.5
56,Tyrese Haliburton,Pacers,fg3m,3.5,110,over,0.37963205504091413,-1.0138634220704015,0.47619047619047616
57,Tyrese Haliburton,Pacers,fg3m,3.5,-160,under,0.6203679449590859,0.0404895527925726,0.6153846153846154
58,Pascal Siakam,Pacers,fg3m,0.5,-180,over,0.5682894765709202,-0.579970737781732,0.6428571428571428
59,Pascal Siakam,Pacers,fg3m,0.5,125,under,0.4317105234290798,-0.14325661142285284,0.4444444444444444
60,Obi Toppin,Pacers,fg3m,1.5,150,over,0.4218962688156227,0.27370336019528363,0.4
61,Obi Toppin,Pacers,fg3m,1.5,-210,under,0.5781037311843773,-0.7330438888772148,0.6774193548387096
62,Andrew Nembhard,Pacers,fg3m,1.5,170,over,0.38024609943922716,0.1333223424295671,0.37037037037037035
63,Andrew Nembhard,Pacers,fg3m,1.5,-250,under,0.6197539005607728,-0.6617226960745901,0.7142857142857143
64,T.J. McConnell,Pacers,fg3m,0.5,190,over,0.4054794520298056,0.8794520544321811,0.3448275862068966
65,T.J. McConnell,Pacers,fg3m,0.5,-300,under,0.5945205479701944,-1.0365296801987043,0.75
66,Ben Sheppard,Pacers,fg3m,0.5,-240,over,0.7106157820609493,0.03352845626505818,0.7058823529411764
67,Ben Sheppard,Pacers,fg3m,0.5,165,under,0.28938421793905067,-1.1656591123075786,0.37735849056603776
68,Jalen Brunson,Knicks,fg3m,2.5,-120,over,0.48157042406394956,-0.5856044460804615,0.5454545454545454
69,Jalen Brunson,Knicks,fg3m,2.5,-120,under,0.5184295759360504,-0.24772888725287068,0.5454545454545454
70,Miles McBride,Knicks,fg3m,2.5,100,over,0.45104640759803694,-0.48953592401963064,0.5
71,Miles McBride,Knicks,fg3m,2.5,-140,under,0.5489535924019631,-0.29468349369745894,0.5833333333333333
72,Donte DiVincenzo,Knicks,fg3m,3.5,115,over,0.566529879633291,1.090196206057879,0.46511627906976744
73,Donte DiVincenzo,Knicks,fg3m,3.5,-165,under,0.43347012036670896,-1.519103578873398,0.6226415094339623
74,Josh Hart,Knicks,fg3m,0.5,-220,over,0.7106157820609493,0.16811477862508628,0.6875
