,PROPS,THRESH
1853,Luke Kornet-fgm-over,1.5
731,Al Horford-assists-under,2.5
732,Obi Toppin-fgm-over,3.5
730,T.J. McConnell-fgm-over,4.5
1679,Obi Toppin-points-over,7.5
1682,Jaylen Brown-rebounds-under,6.5
1680,Payton Pritchard-assists-over,2.5
1681,Payton Pritchard-fg3m-over,1.5
724,Al Horford-rebounds-under,7.5
725,Myles Turner-steals-under,0.5
726,Pascal Siakam-assists-over,2.5
723,Payton Pritchard-points-over,9.5
1370,Jrue Holiday-rebounds-under,5.5
1369,Payton Pritchard-assists-over,2.5
1371,Myles Turner-steals-under,0.5
1372,Luke Kornet-fgm-over,1.5
1470,Obi Toppin-points-over,7.5
1473,Pascal Siakam-assists-over,2.5
1472,Luke Kornet-fgm-over,1.5
1471,Aaron Nesmith-points-over,9.5
1107,Payton Pritchard-points-over,9.5
1108,Pascal Siakam-blocks-under,0.5
1109,Payton Pritchard-fg3m-over,1.5
1110,Jaylen Brown-rebounds-under,6.5
1245,Obi Toppin-fgm-over,3.5
1244,Jayson Tatum-fgm-under,9.5
1243,T.J. McConnell-fgm-over,4.5
123,T.J. McConnell-points-over,9.5
124,Jayson Tatum-rebounds-under,10.5
126,Al Horford-rebounds-under,7.5
125,Payton Pritchard-fgm-over,3.5
382,Myles Turner-steals-under,0.5
381,Pascal Siakam-blocks-under,0.5
379,Andrew Nembhard-blocks-under,0.5
378,Obi Toppin-points-over,7.5
380,Luke Kornet-points-over,3.5
1447,Payton Pritchard-points-over,9.5
1448,Jrue Holiday-steals-under,1.5
1450,Luke Kornet-fgm-over,1.5
1449,Andrew Nembhard-points-over,10.5
539,Payton Pritchard-assists-over,2.5
540,Myles Turner-points-over,15.5
541,Andrew Nembhard-points-over,10.5
542,Payton Pritchard-steals-under,0.5
1120,Jrue Holiday-steals-under,1.5
1121,Pascal Siakam-blocks-under,0.5
1123,Payton Pritchard-steals-under,0.5
1122,Obi Toppin-fgm-over,3.5
1386,Al Horford-assists-under,2.5
1387,Obi Toppin-fgm-over,3.5
1385,Jrue Holiday-points-under,12.5
1460,Al Horford-rebounds-under,7.5
1459,Jrue Holiday-steals-under,1.5
1458,Jrue Holiday-points-under,12.5
1457,Payton Pritchard-fgm-over,3.5
