,PROPS,THRESH,PARLAY_ID,PARLAY_EV,PARLAY_PROB,HOUSE_PROB,TO_WIN
1242,Jrue Holiday-points-under,12.5,389,1.7523974594708016,0.13140006031304718,0.5454545454545454,20.946698600544753
1243,Luke Kornet-assists-over,0.5,389,1.7523974594708016,0.13140006031304718,0.5348837209302326,20.946698600544753
1244,Jayson Tatum-fgm-under,9.5,389,1.7523974594708016,0.13140006031304718,0.5121951219512195,20.946698600544753
1245,Luke Kornet-fgm-over,1.5,389,1.7523974594708016,0.13140006031304718,0.5652173913043479,20.946698600544753
1246,Jaylen Brown-rebounds-under,6.5,389,1.7523974594708016,0.13140006031304718,0.5652173913043479,20.946698600544753
1087,Jayson Tatum-steals-under,1.5,340,1.8079290167630013,0.1439949014362542,0.7142857142857143,19.500197498354183
1085,Luke Kornet-points-over,3.5,340,1.8079290167630013,0.1439949014362542,0.6363636363636364,19.500197498354183
1089,Payton Pritchard-steals-under,0.5,340,1.8079290167630013,0.1439949014362542,0.607843137254902,19.500197498354183
1084,T.J. McConnell-points-over,9.5,340,1.8079290167630013,0.1439949014362542,0.5833333333333333,19.500197498354183
1086,Payton Pritchard-fgm-over,3.5,340,1.8079290167630013,0.1439949014362542,0.5454545454545454,19.500197498354183
1088,Jrue Holiday-rebounds-under,5.5,340,1.8079290167630013,0.1439949014362542,0.5833333333333333,19.500197498354183
1377,Luke Kornet-assists-over,0.5,431,1.6396619217696684,0.13651449663818316,0.5348837209302326,19.336129032258057
1379,Obi Toppin-fgm-over,3.5,431,1.6396619217696684,0.13651449663818316,0.4347826086956522,19.336129032258057
1380,Payton Pritchard-steals-under,0.5,431,1.6396619217696684,0.13651449663818316,0.607843137254902,19.336129032258057
1376,Jayson Tatum-steals-under,1.5,431,1.6396619217696684,0.13651449663818316,0.7142857142857143,19.336129032258057
1378,Jayson Tatum-fgm-under,9.5,431,1.6396619217696684,0.13651449663818316,0.5121951219512195,19.336129032258057
820,Jayson Tatum-points-under,29.5,262,1.7582472814609642,0.1514189328865264,0.5454545454545454,18.215999999999998
823,Obi Toppin-fgm-over,3.5,262,1.7582472814609642,0.1514189328865264,0.4347826086956522,18.215999999999998
824,Myles Turner-points-over,15.5,262,1.7582472814609642,0.1514189328865264,0.5555555555555556,18.215999999999998
821,Jayson Tatum-steals-under,1.5,262,1.7582472814609642,0.1514189328865264,0.7142857142857143,18.215999999999998
822,Jrue Holiday-rebounds-under,5.5,262,1.7582472814609642,0.1514189328865264,0.5833333333333333,18.215999999999998
274,Andrew Nembhard-blocks-under,0.5,83,1.486824804950349,0.13867780196113635,0.8461538461538461,17.932392710170493
276,Jrue Holiday-steals-under,1.5,83,1.486824804950349,0.13867780196113635,0.6610169491525424,17.932392710170493
277,T.J. McConnell-assists-over,4.5,83,1.486824804950349,0.13867780196113635,0.574468085106383,17.932392710170493
278,Jrue Holiday-rebounds-under,5.5,83,1.486824804950349,0.13867780196113635,0.5833333333333333,17.932392710170493
