,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PARLAY_EV,TO_WIN
484,Luka Doncic,Mavericks,blocks,0.5,-165,under,0.6440364210831414,0.1718076238494688,0.6226415094339623,92,0.0889692098967667,0.042380193212146436,1.0993110968467126,22.595928291176218
1705,Kyrie Irving,Mavericks,points,21.5,-120,over,0.6745526571181601,1.183399356916469,0.5454545454545454,314,0.09211522489878718,0.043929838091807186,1.096871486443436,21.76357126357126
1708,Kyrie Irving,Mavericks,rebounds,3.5,-150,over,0.6474799815848631,0.3956665132071919,0.6000000000000001,314,0.09211522489878718,0.043929838091807186,1.096871486443436,21.76357126357126
1709,Jaden McDaniels,Timberwolves,points,10.5,-130,over,0.6443280690012575,0.6998252257803546,0.5652173913043479,314,0.09211522489878718,0.043929838091807186,1.096871486443436,21.76357126357126
1707,Anthony Edwards,Timberwolves,points,27.5,-105,under,0.6626665195976226,1.468887453214887,0.5121951219512195,314,0.09211522489878718,0.043929838091807186,1.096871486443436,21.76357126357126
1706,Nickeil Alexander-Walker,Timberwolves,assists,1.5,-185,over,0.664507801973037,0.11850604222474481,0.6491228070175439,314,0.09211522489878718,0.043929838091807186,1.096871486443436,21.76357126357126
1704,Naz Reid,Timberwolves,assists,0.5,-250,over,0.7433392230464442,0.203374561325109,0.7142857142857143,314,0.09211522489878718,0.043929838091807186,1.096871486443436,21.76357126357126
2262,Naz Reid,Timberwolves,assists,0.5,-250,over,0.7433392230464442,0.203374561325109,0.7142857142857143,421,0.09301749311692388,0.04437093047679061,1.096361111146388,21.53727810650887
2266,Kyrie Irving,Mavericks,rebounds,3.5,-150,over,0.6474799815848631,0.3956665132071919,0.6000000000000001,421,0.09301749311692388,0.04437093047679061,1.096361111146388,21.53727810650887
2265,Kyrie Irving,Mavericks,fgm,7.5,-130,over,0.6666508465359062,0.8972959501253241,0.5652173913043479,421,0.09301749311692388,0.04437093047679061,1.096361111146388,21.53727810650887
2263,Karl-Anthony Towns,Timberwolves,points,20.5,-125,under,0.6712179198083947,1.0409612782755526,0.5555555555555556,421,0.09301749311692388,0.04437093047679061,1.096361111146388,21.53727810650887
2267,Jaden McDaniels,Timberwolves,points,10.5,-130,over,0.6443280690012575,0.6998252257803546,0.5652173913043479,421,0.09301749311692388,0.04437093047679061,1.096361111146388,21.53727810650887
2264,Dereck Lively II,Mavericks,steals,0.5,-140,under,0.6703200460356393,0.7456003945911946,0.5833333333333333,421,0.09301749311692388,0.04437093047679061,1.096361111146388,21.53727810650887
1276,Luka Doncic,Mavericks,blocks,0.5,-165,under,0.6440364210831414,0.1718076238494688,0.6226415094339623,233,0.10035686370998176,0.047892267001275496,1.0954711479268457,19.8801976313497
1277,Jaden McDaniels,Timberwolves,assists,1.5,-155,under,0.6197539005607728,0.09797563364506656,0.607843137254902,233,0.10035686370998176,0.047892267001275496,1.0954711479268457,19.8801976313497
1274,Anthony Edwards,Timberwolves,blocks,0.5,-150,under,0.697676326071031,0.813969383925258,0.6000000000000001,233,0.10035686370998176,0.047892267001275496,1.0954711479268457,19.8801976313497
1273,Dereck Lively II,Mavericks,blocks,1.5,-240,under,0.7210475511959114,0.10742015430437246,0.7058823529411764,233,0.10035686370998176,0.047892267001275496,1.0954711479268457,19.8801976313497
1272,Naz Reid,Timberwolves,fgm,3.5,-105,over,0.7514164433525283,2.335255756536586,0.5121951219512195,233,0.10035686370998176,0.047892267001275496,1.0954711479268457,19.8801976313497
1275,Karl-Anthony Towns,Timberwolves,assists,3.5,-140,under,0.6651487763965143,0.7012752262558368,0.5833333333333333,233,0.10035686370998176,0.047892267001275496,1.0954711479268457,19.8801976313497
