,PROPS,THRESH,PARLAY_ID,PARLAY_EV,PARLAY_PROB,HOUSE_PARLAY_PROB,PROB,HOUSE_PROB,EV,TO_WIN
64,T.J. McConnell-fgm-over,4.5,17,1.3887982980235236,0.21861105867807726,0.0915150763708073,0.6872816501433185,0.48780487804878053,2.044636913969015,9.927161290322578
65,Isaiah Jackson-rebounds-under,3.5,17,1.3887982980235236,0.21861105867807726,0.0915150763708073,0.6203679449590859,0.607843137254902,0.10302664401828654,9.927161290322578
63,T.J. McConnell-assists-over,4.5,17,1.3887982980235236,0.21861105867807726,0.0915150763708073,0.6872816501433185,0.5555555555555556,1.185534851289867,9.927161290322578
62,Payton Pritchard-fgm-over,3.5,17,1.3887982980235236,0.21861105867807726,0.0915150763708073,0.746024827010655,0.5555555555555556,1.7142234430958947,9.927161290322578
80,Jayson Tatum-rebounds-under,10.5,23,1.3415075834499353,0.26197422808660537,0.11188271604938269,0.7829049644415078,0.5918367346938775,1.6141971133851523,7.9379310344827605
82,Al Horford-rebounds-under,7.5,23,1.3415075834499353,0.26197422808660537,0.11188271604938269,0.7160162577921948,0.5833333333333333,1.1372822096473847,7.9379310344827605
83,Isaiah Jackson-points-over,3.5,23,1.3415075834499353,0.26197422808660537,0.11188271604938269,0.6264311686747459,0.5833333333333333,0.369410017212108,7.9379310344827605
81,Payton Pritchard-fgm-over,3.5,23,1.3415075834499353,0.26197422808660537,0.11188271604938269,0.746024827010655,0.5555555555555556,1.7142234430958947,7.9379310344827605
84,Jayson Tatum-rebounds-under,10.5,24,1.2843554416577248,0.23002190211136808,0.10069444444444442,0.7829049644415078,0.5918367346938775,1.6141971133851523,8.931034482758623
85,Al Horford-rebounds-under,7.5,24,1.2843554416577248,0.23002190211136808,0.10069444444444442,0.7160162577921948,0.5833333333333333,1.1372822096473847,8.931034482758623
86,Al Horford-assists-under,2.5,24,1.2843554416577248,0.23002190211136808,0.10069444444444442,0.6550340885996073,0.5,1.5503408859960732,8.931034482758623
87,Isaiah Jackson-points-over,3.5,24,1.2843554416577248,0.23002190211136808,0.10069444444444442,0.6264311686747459,0.5833333333333333,0.369410017212108,8.931034482758623
136,Jrue Holiday-fgm-under,4.5,38,1.207796225474353,0.20398739972738603,0.09239412468130233,0.5976109055357126,0.5121951219512195,0.8338207445152896,9.823199023199022
133,T.J. McConnell-points-over,9.5,38,1.207796225474353,0.20398739972738603,0.09239412468130233,0.8119961703007408,0.574468085106383,2.0673740748397806,9.823199023199022
134,Myles Turner-steals-under,0.5,38,1.207796225474353,0.20398739972738603,0.09239412468130233,0.6703200460356393,0.5555555555555556,1.032880414320754,9.823199023199022
135,Andrew Nembhard-points-over,10.5,38,1.207796225474353,0.20398739972738603,0.09239412468130233,0.6271170949771379,0.5652173913043479,0.5475743017208345,9.823199023199022
54,Aaron Nesmith-points-over,9.5,14,1.2071699198741528,0.21591475013105219,0.0978242536684095,0.6551326000263189,0.5454545454545454,1.005382166907924,9.222413793103449
53,Myles Turner-fg3m-over,1.5,14,1.2071699198741528,0.21591475013105219,0.0978242536684095,0.664507801973037,0.5918367346938775,0.6139452235653133,9.222413793103449
52,Myles Turner-steals-under,0.5,14,1.2071699198741528,0.21591475013105219,0.0978242536684095,0.6703200460356393,0.5555555555555556,1.032880414320754,9.222413793103449
51,Jrue Holiday-points-under,12.5,14,1.2071699198741528,0.21591475013105219,0.0978242536684095,0.7398962216034679,0.5454545454545454,1.7823820313651235,9.222413793103449
138,Payton Pritchard-fgm-over,3.5,39,1.1751843153953758,0.4171980499104887,0.1917989417989418,0.746024827010655,0.5555555555555556,1.7142234430958947,4.2137931034482765
137,Payton Pritchard-assists-over,2.5,39,1.1751843153953758,0.4171980499104887,0.1917989417989418,0.8415674019597683,0.5833333333333333,2.213434873940872,4.2137931034482765
139,Myles Turner-fg3m-over,1.5,39,1.1751843153953758,0.4171980499104887,0.1917989417989418,0.664507801973037,0.5918367346938775,0.6139452235653133,4.2137931034482765
7,Isaiah Jackson-points-over,3.5,1,1.164445765521522,0.20869311788775,0.09641873278236913,0.6264311686747459,0.5833333333333333,0.369410017212108,9.371428571428574
6,Aaron Nesmith-points-over,9.5,1,1.164445765521522,0.20869311788775,0.09641873278236913,0.6551326000263189,0.5454545454545454,1.005382166907924,9.371428571428574
4,Jrue Holiday-points-under,12.5,1,1.164445765521522,0.20869311788775,0.09641873278236913,0.7398962216034679,0.5454545454545454,1.7823820313651235,9.371428571428574
5,T.J. McConnell-assists-over,4.5,1,1.164445765521522,0.20869311788775,0.09641873278236913,0.6872816501433185,0.5555555555555556,1.185534851289867,9.371428571428574
15,Payton Pritchard-fg3m-over,1.5,3,1.0996429498764737,0.20680034500871225,0.09849310094408134,0.6047127189295851,0.5555555555555556,0.442414470366266,9.152995391705069
14,Isaiah Jackson-rebounds-under,3.5,3,1.0996429498764737,0.20680034500871225,0.09849310094408134,0.6203679449590859,0.607843137254902,0.10302664401828654,9.152995391705069
12,Payton Pritchard-assists-over,2.5,3,1.0996429498764737,0.20680034500871225,0.09849310094408134,0.8415674019597683,0.5833333333333333,2.213434873940872,9.152995391705069
13,Al Horford-assists-under,2.5,3,1.0996429498764737,0.20680034500871225,0.09849310094408134,0.6550340885996073,0.5,1.5503408859960732,9.152995391705069
117,Myles Turner-steals-under,0.5,33,1.0936493070836661,0.24622793733510862,0.11760705888136068,0.6703200460356393,0.5555555555555556,1.032880414320754,7.502890978753049
115,T.J. McConnell-points-over,9.5,33,1.0936493070836661,0.24622793733510862,0.11760705888136068,0.8119961703007408,0.574468085106383,2.0673740748397806,7.502890978753049
116,Derrick White-rebounds-over,3.5,33,1.0936493070836661,0.24622793733510862,0.11760705888136068,0.6807710116020809,0.6226415094339623,0.4667975174106489,7.502890978753049
118,Myles Turner-fg3m-over,1.5,33,1.0936493070836661,0.24622793733510862,0.11760705888136068,0.664507801973037,0.5918367346938775,0.6139452235653133,7.502890978753049
113,Myles Turner-steals-under,0.5,32,1.0112915677248142,0.201563293096073,0.1002158495220475,0.6703200460356393,0.5555555555555556,1.032880414320754,8.978461538461538
111,Payton Pritchard-fgm-over,3.5,32,1.0112915677248142,0.201563293096073,0.1002158495220475,0.746024827010655,0.5555555555555556,1.7142234430958947,8.978461538461538
