,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,PARLAY_EV,TO_WIN
71,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,22,0.478624488226126,1.8556900155005387,5.966451959205582
72,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,22,0.478624488226126,1.8556900155005387,5.966451959205582
144,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,46,0.4757523299039693,1.7835426956418456,5.85082304526749
143,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,46,0.4757523299039693,1.7835426956418456,5.85082304526749
142,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,46,0.4757523299039693,1.7835426956418456,5.85082304526749
57,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,17,0.3976133566133935,1.3027198316413346,5.791354322838581
56,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,17,0.3976133566133935,1.3027198316413346,5.791354322838581
55,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,17,0.3976133566133935,1.3027198316413346,5.791354322838581
29,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,9,0.46594063015590126,1.6847055356601932,5.761904761904763
30,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,9,0.46594063015590126,1.6847055356601932,5.761904761904763
31,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,9,0.46594063015590126,1.6847055356601932,5.761904761904763
153,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,49,0.38527131849189955,1.1998488363829987,5.7098692033293705
155,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,49,0.38527131849189955,1.1998488363829987,5.7098692033293705
