,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,PARLAY_EV,TO WIN
42,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,12,0.5678776616975708,9.11091084017831,24.848504866340775
43,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,12,0.5678776616975708,9.11091084017831,24.848504866340775
44,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,13,0.41633412581594414,6.388610743219214,27.354497354497358
45,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,13,0.41633412581594414,6.388610743219214,27.354497354497358
46,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,13,0.41633412581594414,6.388610743219214,27.354497354497358
47,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,14,0.3639723322779254,4.8592671650900545,27.087957766970106
48,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,14,0.3639723322779254,4.8592671650900545,27.087957766970106
49,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,14,0.3639723322779254,4.8592671650900545,27.087957766970106
50,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,14,0.3639723322779254,4.8592671650900545,27.087957766970106
51,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,15,0.42048624132900847,12.815173245068642,42.368028948488714
52,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,15,0.42048624132900847,12.815173245068642,42.368028948488714
53,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,15,0.42048624132900847,12.815173245068642,42.368028948488714
54,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,15,0.42048624132900847,12.815173245068642,42.368028948488714
55,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,16,0.35999899050909895,7.3332828948253965,34.25921521997622
56,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,16,0.35999899050909895,7.3332828948253965,34.25921521997622
57,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,16,0.35999899050909895,7.3332828948253965,34.25921521997622
58,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,16,0.35999899050909895,7.3332828948253965,34.25921521997622
59,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,17,0.33672983707966037,9.210093271590175,42.200279591583936
60,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,17,0.33672983707966037,9.210093271590175,42.200279591583936
61,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,17,0.33672983707966037,9.210093271590175,42.200279591583936
62,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,17,0.33672983707966037,9.210093271590175,42.200279591583936
63,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,18,0.3552813352701001,4.768214601161292,27.49430840135488
64,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,18,0.3552813352701001,4.768214601161292,27.49430840135488
65,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,18,0.3552813352701001,4.768214601161292,27.49430840135488
66,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,19,0.24695892124544586,9.711590276907765,59.5710015362689
67,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,19,0.24695892124544586,9.711590276907765,59.5710015362689
68,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,19,0.24695892124544586,9.711590276907765,59.5710015362689
69,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,19,0.24695892124544586,9.711590276907765,59.5710015362689
70,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,19,0.24695892124544586,9.711590276907765,59.5710015362689
71,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,20,0.41469387343901515,5.208448485691962,24.616829761757298
72,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,20,0.41469387343901515,5.208448485691962,24.616829761757298
73,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,20,0.41469387343901515,5.208448485691962,24.616829761757298
74,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,21,0.40946679734589364,10.392400632841287,37.59132787472066
75,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,21,0.40946679734589364,10.392400632841287,37.59132787472066
76,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,21,0.40946679734589364,10.392400632841287,37.59132787472066
77,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,21,0.40946679734589364,10.392400632841287,37.59132787472066
78,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,22,0.4578330155677882,5.429893190398548,22.780998389694037
79,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,22,0.4578330155677882,5.429893190398548,22.780998389694037
80,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,22,0.4578330155677882,5.429893190398548,22.780998389694037
81,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,23,0.4255583999203042,3.7617202619606935,20.58876117496807
