,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PARLAY_EV,TO_WIN
30,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,9,0.3307505557804427,0.13646911189601735,1.4236294292913554,7.327665477606024
31,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,9,0.3307505557804427,0.13646911189601735,1.4236294292913554,7.327665477606024
90,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,28,0.3671303754793701,0.14587737843551798,1.5167053275614792,6.855072463768116
91,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,28,0.3671303754793701,0.14587737843551798,1.5167053275614792,6.855072463768116
92,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,28,0.3671303754793701,0.14587737843551798,1.5167053275614792,6.855072463768116
22,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,6,0.4224092594391159,0.14936213943446516,1.8280879012479212,6.695137092882663
21,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,6,0.4224092594391159,0.14936213943446516,1.8280879012479212,6.695137092882663
20,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,6,0.4224092594391159,0.14936213943446516,1.8280879012479212,6.695137092882663
19,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,6,0.4224092594391159,0.14936213943446516,1.8280879012479212,6.695137092882663
74,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,23,0.45563271935453625,0.15667311411992263,1.9081742704480895,6.382716049382716
75,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,23,0.45563271935453625,0.15667311411992263,1.9081742704480895,6.382716049382716
