,PROP_TAG,THRESH,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PROB,HOUSE_PROB,EV
5,Jakob Poeltl_points_over,13.5,4,0.3400773988196027,0.05939323000245429,0.8433125112967329,0.574468085106383,2.3399422279530455
10,Ty Jerome_points_over,8.5,4,0.3400773988196027,0.05939323000245429,0.8119587445543959,0.5238095238095238,2.750515288928325
13,Ziaire Williams_fg3m_under,1.5,4,0.3400773988196027,0.05939323000245429,0.8087921354109989,0.6666666666666666,1.0659410155824918
36,Kentavious Caldwell-Pope_points_under,8.5,4,0.3400773988196027,0.05939323000245429,0.7203589711272367,0.5652173913043479,1.372406283048632
1,Davion Mitchell_assists_over,3.5,5,0.24352126642191427,0.06532644837910812,0.865770751807885,0.5348837209302326,3.093074419073707
30,Kentavious Caldwell-Pope_fg3m_under,1.5,5,0.24352126642191427,0.06532644837910812,0.7357588823428847,0.5652173913043479,1.508636266879364
32,Anthony Black_rebounds_over,1.5,5,0.24352126642191427,0.06532644837910812,0.7326151184283981,0.6551724137931035,0.591010114321985
35,Jeremiah Robinson-Earl_points_over,6.5,5,0.24352126642191427,0.06532644837910812,0.7256232870006536,0.5238095238095238,1.9264041031880574
37,Javonte Green_rebounds_under,4.5,5,0.24352126642191427,0.06532644837910812,0.7191365816527941,0.6296296296296295,0.7107905013604245
4,Chris Boucher_points_over,7.5,6,0.3351007252461938,0.04975482668417652,0.8524509017987514,0.5238095238095238,3.1370313353517183
7,Ochai Agbaji_points_over,9.5,6,0.3351007252461938,0.04975482668417652,0.8385466923815772,0.5121951219512195,3.185812949439206
14,Dejounte Murray_assists_over,6.5,6,0.3351007252461938,0.04975482668417652,0.7992245443304374,0.5454545454545454,2.3262249896956773
17,Davion Mitchell_rebounds_over,1.5,6,0.3351007252461938,0.04975482668417652,0.7800321450617409,0.5918367346938775,1.5899267427629835
23,Brandon Boston Jr._assists_over,2.5,6,0.3351007252461938,0.04975482668417652,0.7519646590318687,0.574468085106383,1.5448775878699679
13,Ziaire Williams_fg3m_under,1.5,7,0.2757316029043701,0.06742191315353242,0.8087921354109989,0.6666666666666666,1.0659410155824918
17,Davion Mitchell_rebounds_over,1.5,7,0.2757316029043701,0.06742191315353242,0.7800321450617409,0.5918367346938775,1.5899267427629835
19,Jonathan Isaac_assists_under,0.5,7,0.2757316029043701,0.06742191315353242,0.7659283383646487,0.5348837209302326,2.1597649021043246
20,Jarrett Allen_points_over,11.5,7,0.2757316029043701,0.06742191315353242,0.7564693242117185,0.5652173913043479,1.6918440218728943
22,Anthony Black_points_over,6.5,7,0.2757316029043701,0.06742191315353242,0.7543235488325764,0.5652173913043479,1.6728621627497138
5,Jakob Poeltl_points_over,13.5,8,0.2933281095908364,0.04666610928764266,0.8433125112967329,0.574468085106383,2.3399422279530455
10,Ty Jerome_points_over,8.5,8,0.2933281095908364,0.04666610928764266,0.8119587445543959,0.5238095238095238,2.750515288928325
18,Yves Missi_points_under,8.5,8,0.2933281095908364,0.04666610928764266,0.7714023712910426,0.5238095238095238,2.3633862714144978
21,Franz Wagner_points_under,26.5,8,0.2933281095908364,0.04666610928764266,0.7547701099736158,0.5238095238095238,2.2046237770208785
30,Kentavious Caldwell-Pope_fg3m_under,1.5,8,0.2933281095908364,0.04666610928764266,0.7357588823428847,0.5652173913043479,1.508636266879364
2,Scottie Barnes_fg3m_under,1.5,9,0.2933709217331785,0.04915107377754282,0.8556951983876534,0.48780487804878053,3.7708757834734463
8,Brandon Boston Jr._points_over,8.5,9,0.2933709217331785,0.04915107377754282,0.8218962640287524,0.5555555555555556,2.3970663762587714
18,Yves Missi_points_under,8.5,9,0.2933709217331785,0.04915107377754282,0.7714023712910426,0.5238095238095238,2.3633862714144978
25,Jakob Poeltl_assists_over,1.5,9,0.2933709217331785,0.04915107377754282,0.7452273455163944,0.6610169491525424,0.636976075059906
35,Jeremiah Robinson-Earl_points_over,6.5,9,0.2933709217331785,0.04915107377754282,0.7256232870006536,0.5238095238095238,1.9264041031880574
3,Jaime Jaquez Jr._assists_over,1.5,10,0.25448312853306043,0.07065133001278057,0.8531576121745652,0.6363636363636364,1.7033812385144405
24,Duncan Robinson_assists_under,2.5,10,0.25448312853306043,0.07065133001278057,0.7483991413601632,0.6610169491525424,0.6609678641345673
26,Dejounte Murray_points_over,19.5,10,0.25448312853306043,0.07065133001278057,0.7451130841569391,0.5555555555555556,1.706017757412452
27,Terry Rozier_points_over,10.5,10,0.25448312853306043,0.07065133001278057,0.7425492876926374,0.5348837209302326,1.9412216023442188
36,Kentavious Caldwell-Pope_points_under,8.5,10,0.25448312853306043,0.07065133001278057,0.7203589711272367,0.5652173913043479,1.372406283048632
