,parlay_tag,props,COMBINED_PROB,COMBINED_EV
50,2024-05-19_50_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Nikola Jokic_assists_8.5_-105_under_P0.515_EV0.026_HOUSE_PROV0.512,0.28100971196925534,4.052527149866727
51,2024-05-19_51_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Anthony Edwards_assists_5.5_120_over_P0.495_EV0.444_HOUSE_PROV0.455,0.27011743607870997,4.805262929657175
52,2024-05-19_52_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Jamal Murray_rebounds_4.5_105_over_P0.494_EV0.066_HOUSE_PROV0.488,0.26975422115186304,4.124436530461766
53,2024-05-19_53_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Karl-Anthony Towns_blocks_0.5_160_over_P0.493_EV1.414_HOUSE_PROV0.385,0.2692825559367453,6.552221649686375
54,2024-05-19_54_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Nikola Jokic_steals_1.5_115_under_P0.487_EV0.236_HOUSE_PROV0.465,0.26583149145190804,4.430372159256438
55,2024-05-19_55_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Kentavious Caldwell-Pope_blocks_0.5_115_over_P0.473_EV0.082_HOUSE_PROV0.465,0.25799815213472554,4.15248444697939
56,2024-05-19_56_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Aaron Gordon_fg3m_0.5_145_under_P0.468_EV0.729_HOUSE_PROV0.408,0.255246753216822,5.31834999879003
57,2024-05-19_57_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Mike Conley_fgm_3.5_-125_over_P0.700_EV1.297_HOUSE_PROV0.556 + Jamal Murray_blocks_0.5_160_over_P0.451_EV0.865_HOUSE_PROV0.385,0.24625322307724581,5.564263270013846
58,2024-05-19_58_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Nikola Jokic_points_30.5_-125_under_P0.682_EV1.140_HOUSE_PROV0.556,0.37104735902413283,5.831728673050646
59,2024-05-19_59_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Kentavious Caldwell-Pope_steals_1.5_-200_under_P0.677_EV0.078_HOUSE_PROV0.667,0.36829745099906336,3.9595437598810594
60,2024-05-19_60_,Michael Porter Jr._points_13.5_-120_over_P0.780_EV2.151_HOUSE_PROV0.545 + Jaden McDaniels_points_9.5_-130_over_P0.697_EV1.168_HOUSE_PROV0.565 + Nikola Jokic_fg3m_1.5_-185_under_P0.677_EV0.216_HOUSE_PROV0.649,0.36829745099906336,4.201693591229198
