,parlay_tag,props,COMBINED_PROB,COMBINED_EV,HETERO
32,2024-05-19_32_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Pascal Siakam_rebounds_7.5_-120_over_P0.558_EV0.116_HOUSE_PROV0.545,0.3529152358482681,1.88184709904123,8
33,2024-05-19_33_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Miles McBride_rebounds_2.5_-115_under_P0.549_EV0.132_HOUSE_PROV0.535,0.3471009083431204,1.9022318967361223,8
34,2024-05-19_34_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Aaron Nesmith_rebounds_4.5_115_under_P0.544_EV0.843_HOUSE_PROV0.465,0.34367078201650814,2.859125928750239,8
35,2024-05-19_35_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Pascal Siakam_steals_0.5_125_under_P0.527_EV0.932_HOUSE_PROV0.444,0.3334046481906829,2.9789794214724807,8
36,2024-05-19_36_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Tyrese Haliburton_assists_8.5_-105_over_P0.523_EV0.106_HOUSE_PROV0.512,0.3307456230575472,1.8683409255716619,8
37,2024-05-19_37_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Donte DiVincenzo_fgm_6.5_110_over_P0.520_EV0.461_HOUSE_PROV0.476,0.3288466544218353,2.345238453767722,8
38,2024-05-19_38_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Miles McBride_fgm_4.5_120_under_P0.506_EV0.563_HOUSE_PROV0.455,0.31978524073399506,2.482974633175485,8
39,2024-05-19_39_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Andrew Nembhard_points_9.5_-125_over_P0.685_EV1.165_HOUSE_PROV0.556 + Aaron Nesmith_fgm_3.5_115_over_P0.502_EV0.393_HOUSE_PROV0.465,0.3172002305753003,2.2537925455651635,8
40,2024-05-19_40_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Myles Turner_rebounds_7.5_-160_under_P0.670_EV0.442_HOUSE_PROV0.615 + Andrew Nembhard_fgm_3.5_-150_over_P0.668_EV0.564_HOUSE_PROV0.600,0.4128760422128981,1.6075805998086912,8
41,2024-05-19_41_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Myles Turner_rebounds_7.5_-160_under_P0.670_EV0.442_HOUSE_PROV0.615 + Donte DiVincenzo_points_17.5_-110_over_P0.635_EV1.065_HOUSE_PROV0.524,0.3928465142511719,2.2015097059783537,8
42,2024-05-19_42_,Jalen Brunson_blocks_0.5_-550_under_P0.923_EV0.455_HOUSE_PROV0.846 + Myles Turner_rebounds_7.5_-160_under_P0.670_EV0.442_HOUSE_PROV0.615 + Tyrese Haliburton_fg3m_3.5_-160_under_P0.620_EV0.040_HOUSE_PROV0.615,0.3835932486204407,0.9854713580902574,8
