,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PARLAY_EV,TO_WIN
112,Dereck Lively II,Mavericks,fgm,2.5,-160,over,0.6602601118038804,0.36461340840652845,0.6153846153846154,19,0.10192575897982392,0.04899597938085869,1.0802882250302235,19.409837962962964
113,Jaden McDaniels,Timberwolves,points,10.5,-130,over,0.6443280690012575,0.6998252257803546,0.5652173913043479,19,0.10192575897982392,0.04899597938085869,1.0802882250302235,19.409837962962964
2377,Dereck Lively II,Mavericks,blocks,1.5,-240,under,0.7210475511959114,0.10742015430437246,0.7058823529411764,455,0.1048351041901577,0.05053330821237492,1.0745743332213702,18.788928043209204
2376,Daniel Gafford,Mavericks,assists,0.5,-180,over,0.8279551361769494,1.4396510591540506,0.6428571428571428,455,0.1048351041901577,0.05053330821237492,1.0745743332213702,18.788928043209204
2381,Jaden McDaniels,Timberwolves,assists,1.5,-155,under,0.6197539005607728,0.09797563364506656,0.607843137254902,455,0.1048351041901577,0.05053330821237492,1.0745743332213702,18.788928043209204
2380,Luka Doncic,Mavericks,blocks,0.5,-165,under,0.6440364210831414,0.1718076238494688,0.6226415094339623,455,0.1048351041901577,0.05053330821237492,1.0745743332213702,18.788928043209204
2379,Anthony Edwards,Timberwolves,points,27.5,-105,under,0.6626665195976226,1.468887453214887,0.5121951219512195,455,0.1048351041901577,0.05053330821237492,1.0745743332213702,18.788928043209204
2378,Mike Conley,Timberwolves,assists,6.5,-135,under,0.6639131865002601,0.7785036602800415,0.574468085106383,455,0.1048351041901577,0.05053330821237492,1.0745743332213702,18.788928043209204
889,Jaden McDaniels,Timberwolves,steals,1.5,-230,under,0.7504700565112195,0.38380692714570475,0.696969696969697,165,0.12108111811000982,0.05871809481263532,1.0620750468210838,16.03052531235761
888,Naz Reid,Timberwolves,fgm,3.5,-105,over,0.7514164433525283,2.335255756536586,0.5121951219512195,165,0.12108111811000982,0.05871809481263532,1.0620750468210838,16.03052531235761
891,Derrick Jones Jr.,Mavericks,blocks,0.5,-160,over,0.6737202053769606,0.4739766686878051,0.6153846153846154,165,0.12108111811000982,0.05871809481263532,1.0620750468210838,16.03052531235761
892,Karl-Anthony Towns,Timberwolves,assists,3.5,-140,under,0.6651487763965143,0.7012752262558368,0.5833333333333333,165,0.12108111811000982,0.05871809481263532,1.0620750468210838,16.03052531235761
890,Dereck Lively II,Mavericks,blocks,1.5,-240,under,0.7210475511959114,0.10742015430437246,0.7058823529411764,165,0.12108111811000982,0.05871809481263532,1.0620750468210838,16.03052531235761
893,Nickeil Alexander-Walker,Timberwolves,assists,1.5,-185,over,0.664507801973037,0.11850604222474481,0.6491228070175439,165,0.12108111811000982,0.05871809481263532,1.0620750468210838,16.03052531235761
2361,Dereck Lively II,Mavericks,fgm,2.5,-160,over,0.6602601118038804,0.36461340840652845,0.6153846153846154,451,0.09312271606328203,0.045197417698041906,1.060354790298483,21.125157828282823
